feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	Location	Urban	-3.40606740793885	0.574671439802743	114	79	2.1841284666333e-07	9.36991112185686e-05
Streptococcus	EntColi	TRUE	-2.6510774945458	0.619877302472119	114	99	4.13754212042142e-05	0.00887502784830395
Collinsella	AgeC	AgeC	0.719861582512039	0.170123109464144	114	64	8.11211709813445e-05	0.0116003274503323
Butyrivibrio	Location	Urban	2.78675877903915	0.7139514249386	114	58	0.000244888690003106	0.0245331960800936
Escherichia.Shigella	AgeC	AgeC	-3.24737056223781	0.833792412070912	114	112	0.000285934686248177	0.0245331960800936
Mitsuokella	AgeC	AgeC	0.786033038322347	0.217872432943128	114	61	0.000627058062743746	0.0448346514861779
Bifidobacterium	AgeC	AgeC	0.682318546837042	0.19405594414402	114	113	0.000861615575053256	0.0495177056235326
Lachnospiraceae_UCG.001	AgeC	AgeC	0.624050458607247	0.179444298678938	114	57	0.000923407097874734	0.0495177056235326
Senegalimassilia	AgeC	AgeC	0.385610051891848	0.113324838854373	114	47	0.00124607293532671	0.0593961432505732
Alistipes	AgeC	AgeC	0.83362016062314	0.253679690323383	114	101	0.00168837560489065	0.0604853933612267
Anaerovibrio	Location	Urban	-1.67002306784226	0.507213655164193	114	31	0.00169189911499935	0.0604853933612267
Succinivibrio	AgeC	AgeC	0.660205980271457	0.201338478034716	114	52	0.00164601264296077	0.0604853933612267
Oscillospira	Location	Urban	0.539699532251835	0.166066091319584	114	18	0.00194682213057425	0.0611847008615606
Enterobacter	Location	Urban	1.34415683216549	0.424492457758078	114	47	0.00199670352461969	0.0611847008615606
Lachnospira	Location	Urban	1.47112951366966	0.461271861707904	114	90	0.00230118755042681	0.0658139639422068
Izemoplasmatales	Location	Urban	1.92957798867193	0.64832972490319	114	79	0.00358881698688206	0.0855334715206891
Enterococcus	EntColi	TRUE	-1.91203791557329	0.635586527046776	114	79	0.00326937574628398	0.0855334715206891
RF39	EntColi	TRUE	1.92670903745315	0.644745078566523	114	83	0.00346591296944218	0.0855334715206891
Enterococcus	AgeC	AgeC	-3.0131979597397	0.98714527369232	114	79	0.00380854154200409	0.0859928590273554
Slackia	AgeC	AgeC	0.282906909457337	0.0961634090167668	114	15	0.00501629740827577	0.0902028773281112
Lactococcus	Location	Urban	-1.00922106285777	0.34940201410617	114	28	0.00466415424096435	0.0902028773281112
X.Eubacterium._ventriosum_group	AgeC	AgeC	2.66865883577699	0.888487196056055	114	93	0.00471619739543772	0.0902028773281112
Lachnospiraceae_NK4A136_group	AgeC	AgeC	0.555829512131413	0.187303863407575	114	101	0.00425851540933608	0.0902028773281112
TM7x	AgeC	AgeC	0.196966669345802	0.0688304865924815	114	11	0.00504631481555867	0.0902028773281112
Peptoniphilus	AgeC	AgeC	0.309834714422165	0.108864241553443	114	13	0.00528133207726649	0.090627658445893
