feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia	AgeC	AgeC	0.721416840731136	0.118964010092552	101	53	2.54885467534968e-08	7.92113299001953e-06
Intestinibacter	AgeC	AgeC	0.751500744398788	0.125504119059588	101	53	3.59235056236713e-08	7.92113299001953e-06
GCA.900066575	AgeC	AgeC	0.168119655925182	0.036041985954438	101	12	9.89618651038963e-06	0.00121519940694922
Roseburia	AgeC	AgeC	0.722025341225615	0.150463532438901	101	42	1.30024408152402e-05	0.00121519940694922
Fusobacterium	AgeC	AgeC	0.369613337085136	0.0775701406840698	101	26	1.3777771053846e-05	0.00121519940694922
Lachnoclostridium	AgeC	AgeC	0.385325763038738	0.0964562538716177	101	45	0.000126104386054523	0.00926867237500746
GCA.900066575	UrbanAgeC	UrbanAgeC	-0.1978461983377	0.0520565275676378	101	12	0.000252057577076103	0.0138946739363202
X.Eubacterium._coprostanoligenes_group	AgeC	AgeC	0.509175179501739	0.132978282482991	101	35	0.000228086822266971	0.0138946739363202
Monoglobus	AgeC	AgeC	0.315412632096134	0.088098536217232	101	23	0.000538390978306002	0.0263811579369941
Libanicoccus	Location	Urban	-0.679042807403151	0.192281105278272	101	42	0.000634199238619515	0.0279681864231206
Lachnospira	AgeC	AgeC	0.294601362176571	0.0860549712681331	101	19	0.00090734085298077	0.0307797935511169
Family_XIII_UCG.001	AgeC	AgeC	0.231612510743338	0.0672085025687379	101	17	0.000841924041717545	0.0307797935511169
Terrisporobacter	AgeC	AgeC	0.171093183005708	0.0492816552626749	101	14	0.000773783242722516	0.0307797935511169
Desulfovibrio	AgeC	AgeC	0.348202008984941	0.100850729029299	101	31	0.00104242985364716	0.0328365403898855
X.Eubacterium._hallii_group	AgeC	AgeC	0.350909974468373	0.102464254286755	101	32	0.00115259550309167	0.0338863077908952
Oscillibacter	AgeC	AgeC	0.204372867972424	0.063493328007672	101	21	0.00208949539021387	0.0575917166927697
Anaerotruncus	AgeC	AgeC	0.173949014198915	0.0554889858363962	101	16	0.00227553951636497	0.0590301721598207
X.Eubacterium._ventriosum_group	AgeC	AgeC	0.180733220908584	0.0585696501903488	101	18	0.00264591031134369	0.059082635658904
Lachnospiraceae_UCG.010	AgeC	AgeC	0.227633962901685	0.0724952081149339	101	18	0.00267948461038113	0.059082635658904
UCG.003	AgeC	AgeC	0.196303598351165	0.0636619088312392	101	18	0.00266417575248588	0.059082635658904
Romboutsia	AgeC	AgeC	0.213803451045163	0.0688399343193588	101	18	0.00302397705676172	0.0635035181919961
Lachnospiraceae_NK4A136_group	AgeC	AgeC	0.250267103070356	0.0838604388146193	101	25	0.00359609891171114	0.0720854372756643
UCG.005	AgeC	AgeC	0.352293676827261	0.121069984243932	101	27	0.0044847031786837	0.0791101640719805
Peptococcus	AgeC	AgeC	0.316435191944326	0.105898410059447	101	24	0.00414006097820298	0.0791101640719805
Anaerovibrio	AgeC	AgeC	0.242250091671477	0.0830495557883602	101	10	0.00439203266841232	0.0791101640719805
Turicibacter	AgeC	AgeC	0.207134802621257	0.0706504833043947	101	19	0.00491639863146234	0.0833896844798035
Clostridium_sensu_stricto_1	AgeC	AgeC	0.437399454245952	0.153811211680979	101	73	0.00626007053250854	0.10224781869764
Allisonella	UrbanAgeC	UrbanAgeC	0.421975126966631	0.151307312550743	101	30	0.00757967654344993	0.119379905559336
Intestinimonas	AgeC	AgeC	0.159410893183	0.0599532528836474	101	11	0.00917107422475489	0.139463577004031
Clostridia_UCG.014	AgeC	AgeC	0.312642151484081	0.120357466427264	101	25	0.0119984836526263	0.176377709693607
Lachnospiraceae_UCG.001	AgeC	AgeC	0.0792680009174398	0.0316136608550064	101	6	0.0138236902034389	0.196653141281179
Campylobacter	AgeC	AgeC	0.332056633283283	0.133443779871968	101	23	0.0145376742247337	0.198487799420555
Sellimonas	AgeC	AgeC	0.15805317800001	0.0637252475848796	101	9	0.0148528285280687	0.198487799420555
X.Ruminococcus._gnavus_group	AgeC	AgeC	-0.826238148264525	0.350536224303693	101	64	0.0225680920671648	0.292721429459402
Ruminococcus	AgeC	AgeC	0.2664348466495	0.119124904448889	101	21	0.0276030236148772	0.347798097547453
UCG.005	UrbanAgeC	UrbanAgeC	-0.370845535227533	0.174865030477924	101	27	0.0364929349363939	0.447038452970825
Coprococcus	AgeC	AgeC	0.215600220966212	0.105241245584586	101	22	0.0452299280275309	0.498659956503529
Lachnospiraceae_ND3007_group	AgeC	AgeC	0.0992217547244888	0.0481262327530532	101	15	0.0419111375169856	0.498659956503529
Oscillibacter	UrbanAgeC	UrbanAgeC	-0.188851104570286	0.0917594226026625	101	21	0.0438419760401912	0.498659956503529
Fusobacterium	UrbanAgeC	UrbanAgeC	-0.229858226953356	0.112122975500515	101	26	0.0448785331981324	0.498659956503529
Family_XIII_UCG.001	UrbanAgeC	UrbanAgeC	-0.194264621482255	0.0970712676924051	101	17	0.0481584145378611	0.517996605151141
Succinatimonas	AgeC	AgeC	0.105104403065553	0.0523051219231307	101	9	0.0493978711611994	0.518677647192594
Slackia	AgeC	AgeC	0.0405320571725934	0.0205353126057964	101	5	0.0512522735701658	0.52563378242891
Libanicoccus	UrbanAgeC	UrbanAgeC	0.213325220671751	0.109255860991973	101	42	0.0537581154471827	0.52617488156176
Prevotellaceae_UCG.003	UrbanAgeC	UrbanAgeC	-0.0316027095773725	0.0163248768702894	101	3	0.0557960024230929	0.52617488156176
Enterococcus	AgeC	AgeC	0.244117629050627	0.125141373018791	101	80	0.056077595087081	0.52617488156176
Escherichia.Shigella	AgeC	AgeC	-0.491121696802906	0.20183742849242	101	100	0.0559546765870852	0.52617488156176
CAG.56	AgeC	AgeC	0.030674649367488	0.0158934557372037	101	3	0.0582075107962457	0.534781505440508
Anaerovibrio	UrbanAgeC	UrbanAgeC	-0.228067197498706	0.119950978723593	101	10	0.0602259251712139	0.542033326540925
Rothia	AgeC	AgeC	-0.194996030761761	0.103303985225717	101	35	0.0620697832985076	0.542404250780871
Lachnospiraceae_UCG.001	UrbanAgeC	UrbanAgeC	-0.084769033953185	0.0456605629652686	101	6	0.0664168470343924	0.542404250780871
UCG.009	AgeC	AgeC	0.158722588754001	0.0853486727636579	101	17	0.0659591561227706	0.542404250780871
Peptococcus	UrbanAgeC	UrbanAgeC	-0.287558866503271	0.153112877195149	101	24	0.0653268467563205	0.542404250780871
Terrisporobacter	UrbanAgeC	UrbanAgeC	-0.133729132236835	0.0711789813414642	101	14	0.0632782520614977	0.542404250780871
Solobacterium	AgeC	AgeC	0.0733095796133061	0.0399018374092611	101	9	0.0692348886817341	0.5474494075289
Agathobacter	AgeC	AgeC	0.276084532584748	0.149273303532251	101	41	0.0695173850830349	0.5474494075289
Tyzzerella	Location	Urban	-0.518927604569904	0.286171509756521	101	34	0.0729319629151572	0.548394401916937
Anaerotruncus	UrbanAgeC	UrbanAgeC	-0.145240603808853	0.0801444161799476	101	16	0.0730440659242998	0.548394401916937
Finegoldia	UrbanAgeC	UrbanAgeC	0.233610060504597	0.12904048916064	101	37	0.0733679585331049	0.548394401916937
