feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia	AgeC	AgeC	0.721416840731136	0.118964010092552	101	53	2.54885467534968e-08	7.92113299001953e-06
Intestinibacter	AgeC	AgeC	0.751500744398788	0.125504119059588	101	53	3.59235056236713e-08	7.92113299001953e-06
GCA.900066575	AgeC	AgeC	0.168119655925182	0.036041985954438	101	12	9.89618651038963e-06	0.00121519940694922
Roseburia	AgeC	AgeC	0.722025341225615	0.150463532438901	101	42	1.30024408152402e-05	0.00121519940694922
Fusobacterium	AgeC	AgeC	0.369613337085136	0.0775701406840698	101	26	1.3777771053846e-05	0.00121519940694922
Lachnoclostridium	AgeC	AgeC	0.385325763038738	0.0964562538716177	101	45	0.000126104386054523	0.00926867237500746
GCA.900066575	UrbanAgeC	UrbanAgeC	-0.1978461983377	0.0520565275676378	101	12	0.000252057577076103	0.0138946739363202
X.Eubacterium._coprostanoligenes_group	AgeC	AgeC	0.509175179501739	0.132978282482991	101	35	0.000228086822266971	0.0138946739363202
Monoglobus	AgeC	AgeC	0.315412632096134	0.088098536217232	101	23	0.000538390978306002	0.0263811579369941
Libanicoccus	Location	Urban	-0.679042807403151	0.192281105278272	101	42	0.000634199238619515	0.0279681864231206
Lachnospira	AgeC	AgeC	0.294601362176571	0.0860549712681331	101	19	0.00090734085298077	0.0307797935511169
Family_XIII_UCG.001	AgeC	AgeC	0.231612510743338	0.0672085025687379	101	17	0.000841924041717545	0.0307797935511169
Terrisporobacter	AgeC	AgeC	0.171093183005708	0.0492816552626749	101	14	0.000773783242722516	0.0307797935511169
Desulfovibrio	AgeC	AgeC	0.348202008984941	0.100850729029299	101	31	0.00104242985364716	0.0328365403898855
X.Eubacterium._hallii_group	AgeC	AgeC	0.350909974468373	0.102464254286755	101	32	0.00115259550309167	0.0338863077908952
Oscillibacter	AgeC	AgeC	0.204372867972424	0.063493328007672	101	21	0.00208949539021387	0.0575917166927697
Anaerotruncus	AgeC	AgeC	0.173949014198915	0.0554889858363962	101	16	0.00227553951636497	0.0590301721598207
X.Eubacterium._ventriosum_group	AgeC	AgeC	0.180733220908584	0.0585696501903488	101	18	0.00264591031134369	0.059082635658904
Lachnospiraceae_UCG.010	AgeC	AgeC	0.227633962901685	0.0724952081149339	101	18	0.00267948461038113	0.059082635658904
UCG.003	AgeC	AgeC	0.196303598351165	0.0636619088312392	101	18	0.00266417575248588	0.059082635658904
Romboutsia	AgeC	AgeC	0.213803451045163	0.0688399343193588	101	18	0.00302397705676172	0.0635035181919961
Lachnospiraceae_NK4A136_group	AgeC	AgeC	0.250267103070356	0.0838604388146193	101	25	0.00359609891171114	0.0720854372756643
UCG.005	AgeC	AgeC	0.352293676827261	0.121069984243932	101	27	0.0044847031786837	0.0791101640719805
Peptococcus	AgeC	AgeC	0.316435191944326	0.105898410059447	101	24	0.00414006097820298	0.0791101640719805
Anaerovibrio	AgeC	AgeC	0.242250091671477	0.0830495557883602	101	10	0.00439203266841232	0.0791101640719805
Turicibacter	AgeC	AgeC	0.207134802621257	0.0706504833043947	101	19	0.00491639863146234	0.0833896844798035
