feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia	AgeC	AgeC	0.721244183997874	0.118905430106917	101	53	2.53126773635565e-08	1.34161311354084e-05
Intestinibacter	AgeC	AgeC	0.750747810004888	0.125511199092037	101	53	3.6959038940519e-08	1.34161311354084e-05
GCA.900066575	AgeC	AgeC	0.167995087792339	0.0360136290886122	101	12	9.88778776927461e-06	0.00201285365119784
Roseburia	AgeC	AgeC	0.721801166088043	0.150456446631169	101	42	1.30520980859959e-05	0.00201285365119784
Fusobacterium	AgeC	AgeC	0.368829462694577	0.0774311779278376	101	26	1.38626284517758e-05	0.00201285365119784
Lachnoclostridium	AgeC	AgeC	0.386556265280948	0.0966699605462035	101	45	0.000124336501419638	0.0150447166717761
GCA.900066575	UrbanAgeC	UrbanAgeC	-0.197702435559134	0.0520155708909036	101	12	0.000251855323977416	0.0228558706509505
X.Eubacterium._coprostanoligenes_group	AgeC	AgeC	0.509295940694049	0.133014696923608	101	35	0.000228199736759491	0.0228558706509505
Monoglobus	AgeC	AgeC	0.315355286815514	0.0880899540139442	101	23	0.000538940653044868	0.043474546012286
Libanicoccus	Location	Urban	-0.67814529312833	0.192145796106904	101	42	0.000638851300271195	0.0463806043996887
Lachnospira	AgeC	AgeC	0.294459555133673	0.0860369188934343	101	19	0.00091011154992309	0.0508262296341664
Family_XIII_UCG.001	AgeC	AgeC	0.231612200214479	0.0672070009439617	101	17	0.000841723367445564	0.0508262296341664
Terrisporobacter	AgeC	AgeC	0.171081463471223	0.0492618622819191	101	14	0.000770825580692258	0.0508262296341664
Desulfovibrio	AgeC	AgeC	0.348967499333792	0.100985242809686	101	31	0.00103299698264127	0.0535682720998256
X.Eubacterium._hallii_group	AgeC	AgeC	0.351457131947882	0.102657789817241	101	32	0.00115656903213438	0.0559779411553041
Oscillibacter	AgeC	AgeC	0.204338298768949	0.0634612307777941	101	21	0.00208284665492563	0.0945091669672505
X.Eubacterium._ventriosum_group	AgeC	AgeC	0.180776649932006	0.0585739627459262	101	18	0.00264175165157694	0.0977626919735001
Lachnospiraceae_UCG.010	AgeC	AgeC	0.227568086200172	0.0725155765331812	101	18	0.00269318710670799	0.0977626919735001
UCG.003	AgeC	AgeC	0.196160864447832	0.0636381152914525	101	18	0.00267306716368643	0.0977626919735001
Anaerotruncus	AgeC	AgeC	0.173248586486833	0.0554592382740695	101	16	0.00235397236837987	0.0977626919735001
Romboutsia	AgeC	AgeC	0.214250358214592	0.0689632000694918	101	18	0.00301605526798804	0.104269339264729
Lachnospiraceae_NK4A136_group	AgeC	AgeC	0.250180532457434	0.0838376331728094	101	25	0.00359848138682744	0.118749885765306
Peptococcus	AgeC	AgeC	0.317565584950519	0.105670079848529	101	24	0.00398560273769722	0.12580641685079
Dolosigranulum	Location	Urban	-0.139884304266708	0.048282836258099	101	5	0.00465430379114424	0.129962482783489
UCG.005	AgeC	AgeC	0.352168308321988	0.121030116499914	101	27	0.00448572252072756	0.129962482783489
Anaerovibrio	AgeC	AgeC	0.242103410988819	0.0830287966711207	101	10	0.00440546261178368	0.129962482783489
Turicibacter	AgeC	AgeC	0.207035420643463	0.0706001495331716	101	19	0.00490739713723865	0.131954456356862
Dolosigranulum	AgeC	AgeC	-0.0529774139391637	0.0189947869020561	101	5	0.00636339423002077	0.159304283137761
Clostridium_sensu_stricto_1	AgeC	AgeC	0.436751365255509	0.153574429268363	101	73	0.00625849979200681	0.159304283137761
Allisonella	UrbanAgeC	UrbanAgeC	0.421894439259779	0.151316828285464	101	30	0.00759376477160083	0.18376910747274
Varibaculum	AgeC	AgeC	-0.102266693671722	0.0379013542759068	101	7	0.00822273047219263	0.19257104267135
