2023-07-06 09:19:45 INFO::Writing function arguments to log file
2023-07-06 09:19:45 DEBUG::Function arguments
2023-07-06 09:19:45 DEBUG::Output folder: ./04_analysis_output//outputs_2023-07-06_09-16-11/maaslin/infants_all
2023-07-06 09:19:45 DEBUG::Min Abundance: 0.000000
2023-07-06 09:19:45 DEBUG::Min Prevalence: 0.000000
2023-07-06 09:19:45 DEBUG::Normalization: TSS
2023-07-06 09:19:45 DEBUG::Transform: LOG
2023-07-06 09:19:45 DEBUG::Analysis method: LM
2023-07-06 09:19:45 DEBUG::Max significance: 0.100000
2023-07-06 09:19:45 DEBUG::Random effects: Index,TimePoint
2023-07-06 09:19:45 DEBUG::Fixed effects: Location,AgeC,UrbanAgeC
2023-07-06 09:19:45 DEBUG::Correction method: BH
2023-07-06 09:19:45 DEBUG::Standardize: TRUE
2023-07-06 09:19:45 DEBUG::Cores: 1
2023-07-06 09:19:45 INFO::Verifying options selected are valid
2023-07-06 09:19:45 INFO::Determining format of input files
2023-07-06 09:19:45 INFO::Input format is data samples as rows and metadata samples as rows
2023-07-06 09:19:45 DEBUG::The following samples were found to have metadata but no features. They will be removed. su01a1,su02a1,su03a1,su04a1,su05a1,su06a1,su07a1,su08a1,su09a1,su10a1,su11a1,su12a1,su13a1,su14a1,su15a1,su16a1,su17a1,su18a1,su19a1,su20a1,su21a1,su22a1,su23a1,su24a1,su25a1,su26a1,su27a1,su28a1,su29a1,su30a1,sr31a1,sr32a1,sr33a1,sr34a1,sr35a1,sr36a1,sr37a1,sr38a1,sr39a1,sr40a1,sr41a1,sr42a1,sr43a1,sr44a1,sr45a1,sr46a1,sr47a1,sr48a1,sr49a1,sr50a1,sr51a1,sr52a1,sr53a1,sr54a1,sr55a1,sr56a1,sr57a1,sr58a1,sr59a1,sr60a1,su01a2,su02a2,su03a2,su04a2,su05a2,su06a2,su07a2,su08a2,su10a2,su11a2,su12a2,su13a2,su15a2,su16a2,su17a2,su18a2,su19a2,su20a2,su21a2,su23a2,su24a2,su25a2,su26a2,su27a2,su28a2,su29a2,su30a2,sr31a2,sr32a2,sr33a2,sr34a2,sr35a2,sr36a2,sr37a2,sr38a2,sr39a2,sr40a2,sr41a2,sr42a2,sr43a2,sr45a2,sr46a2,sr48a2,sr49a2,sr50a2,sr51a2,sr52a2,sr53a2,sr54a2,sr55a2,sr56a2,sr57a2,sr58a2,sr60a2
2023-07-06 09:19:45 DEBUG::A total of 101 samples were found in both the data and metadata
2023-07-06 09:19:45 DEBUG::Reordering data/metadata to use same sample ordering
2023-07-06 09:19:45 INFO::Formula for random effects: expr ~ (1 | Index) + (1 | TimePoint)
2023-07-06 09:19:45 INFO::Formula for fixed effects: expr ~  Location + AgeC + UrbanAgeC
2023-07-06 09:19:45 INFO::Filter data based on min abundance and min prevalence
2023-07-06 09:19:45 INFO::Total samples in data: 101
2023-07-06 09:19:45 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2023-07-06 09:19:46 INFO::Total filtered features: 71
2023-07-06 09:19:46 INFO::Filtered feature names from abundance and prevalence filtering: Arcanobacterium, F0332, Mobiluncus, Alloscardovia, Scardovia, Dietzia, Mycobacterium, Kocuria, PeM15, Pseudopropionibacterium, Raoultibacter, Enterorhabdus, CAG.873, Prevotella, Dinghuibacter, Edaphobaculum, Parasegetibacter, Fluviicola, Empedobacter, AKYH767, NS11.12_marine_group, Ureibacillus, Kurthia, Solibacillus, UCG.004, Faecalitalea, Carnobacterium, Trichococcus, Weissella, Brochothrix, Caldicoprobacter, Christensenella, Ruminiclostridium, X.Bacteroides._pectinophilus_group, Cellulosilyticum, GCA.900066755, Lachnospiraceae, Lachnospiraceae_NC2004_group, Lachnospiraceae_UCG.003, Pseudoflavonifractor, Negativibacillus, Pygmaiobacter, Ruminococcaceae, W5053, DTU014, Gemmatimonas, P3OB.42, mle1.27, Candidatus_Saccharimonas, TM7x, Roseomonas, Azospirillum, Caulobacter, Bosea, Methylocystis, Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium, Novosphingobium, Sandarakinorhabdus, Marinobacter, Vogesella, Acidovorax, Methylotenera, Massilia, Azonexus, Franconibacter, Moellerella, Serratia, Stenotrophomonas, SAR324_clade.Marine_group_B., Sphaerochaeta, cvE6
2023-07-06 09:19:46 INFO::Running selected normalization method: TSS
2023-07-06 09:19:46 INFO::Total filtered features with variance filtering: 0
2023-07-06 09:19:46 INFO::Filtered feature names from variance filtering:
2023-07-06 09:19:46 INFO::Applying z-score to standardize continuous metadata
2023-07-06 09:19:46 INFO::Running selected transform method: LOG
2023-07-06 09:19:46 INFO::Running selected analysis method: LM
2023-07-06 09:19:46 INFO::Fitting model to feature number 1, Methanobrevibacter
2023-07-06 09:19:46 INFO::Fitting model to feature number 2, Actinomyces
2023-07-06 09:19:46 INFO::Fitting model to feature number 3, Varibaculum
2023-07-06 09:19:46 INFO::Fitting model to feature number 4, Bifidobacterium
2023-07-06 09:19:46 INFO::Fitting model to feature number 5, Gardnerella
2023-07-06 09:19:46 INFO::Fitting model to feature number 6, Corynebacterium
2023-07-06 09:19:47 INFO::Fitting model to feature number 7, Rhodococcus
2023-07-06 09:19:47 INFO::Fitting model to feature number 8, Brachybacterium
2023-07-06 09:19:47 INFO::Fitting model to feature number 9, Piscicoccus
2023-07-06 09:19:47 INFO::Fitting model to feature number 10, Nesterenkonia
2023-07-06 09:19:47 INFO::Fitting model to feature number 11, Rothia
2023-07-06 09:19:47 INFO::Fitting model to feature number 12, Cutibacterium
2023-07-06 09:19:47 INFO::Fitting model to feature number 13, Propioniciclava
2023-07-06 09:19:47 INFO::Fitting model to feature number 14, Atopobium
2023-07-06 09:19:47 INFO::Fitting model to feature number 15, Coriobacteriaceae_UCG.003
2023-07-06 09:19:47 INFO::Fitting model to feature number 16, Libanicoccus
2023-07-06 09:19:48 INFO::Fitting model to feature number 17, Olsenella
2023-07-06 09:19:48 INFO::Fitting model to feature number 18, Collinsella
2023-07-06 09:19:48 INFO::Fitting model to feature number 19, Eggerthella
2023-07-06 09:19:48 INFO::Fitting model to feature number 20, Senegalimassilia
2023-07-06 09:19:48 INFO::Fitting model to feature number 21, Slackia
2023-07-06 09:19:48 INFO::Fitting model to feature number 22, Solirubrobacter
2023-07-06 09:19:48 INFO::Fitting model to feature number 23, Bacteroides
2023-07-06 09:19:48 INFO::Fitting model to feature number 24, Phocaeicola
2023-07-06 09:19:49 INFO::Fitting model to feature number 25, Butyricimonas
2023-07-06 09:19:49 INFO::Fitting model to feature number 26, Muribaculaceae
2023-07-06 09:19:49 INFO::Fitting model to feature number 27, Porphyromonas
2023-07-06 09:19:49 INFO::Fitting model to feature number 28, Prevotellaceae_UCG.003
2023-07-06 09:19:49 INFO::Fitting model to feature number 29, Alistipes
2023-07-06 09:19:49 INFO::Fitting model to feature number 30, Rikenellaceae_RC9_gut_group
2023-07-06 09:19:49 INFO::Fitting model to feature number 31, Parabacteroides
2023-07-06 09:19:49 INFO::Fitting model to feature number 32, Pontibacter
2023-07-06 09:19:49 INFO::Fitting model to feature number 33, Dyadobacter
2023-07-06 09:19:49 INFO::Fitting model to feature number 34, Chryseobacterium
2023-07-06 09:19:49 INFO::Fitting model to feature number 35, Pedobacter
2023-07-06 09:19:49 INFO::Fitting model to feature number 36, Campylobacter
2023-07-06 09:19:49 INFO::Fitting model to feature number 37, Helicobacter
2023-07-06 09:19:50 INFO::Fitting model to feature number 38, Gastranaerophilales
2023-07-06 09:19:50 INFO::Fitting model to feature number 39, Bilophila
2023-07-06 09:19:50 INFO::Fitting model to feature number 40, Desulfovibrio
2023-07-06 09:19:50 INFO::Fitting model to feature number 41, Lawsonia
2023-07-06 09:19:50 INFO::Fitting model to feature number 42, Elusimicrobium
2023-07-06 09:19:50 INFO::Fitting model to feature number 43, Anaeroplasma
2023-07-06 09:19:50 INFO::Fitting model to feature number 44, Tumebacillus
2023-07-06 09:19:50 INFO::Fitting model to feature number 45, Bacillus
2023-07-06 09:19:50 INFO::Fitting model to feature number 46, Chryseomicrobium
2023-07-06 09:19:50 INFO::Fitting model to feature number 47, Domibacillus
2023-07-06 09:19:50 INFO::Fitting model to feature number 48, Lysinibacillus
2023-07-06 09:19:50 INFO::Fitting model to feature number 49, Sporosarcina
2023-07-06 09:19:51 INFO::Fitting model to feature number 50, Asteroleplasma
2023-07-06 09:19:51 INFO::Fitting model to feature number 51, Catenibacterium
