feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	Location	Urban	-1.0259982807255	0.172595290179002	114	79	2.05106589021303e-07	0.000161829098737808
Streptococcus	EntColi	TRUE	-0.796228185161907	0.186150682451199	114	99	4.12828045520453e-05	0.0162860663957819
Collinsella	AgeC	AgeC	0.21627488446319	0.0511579677921914	114	64	8.2190097259621e-05	0.0216159955792803
Butyrivibrio	Location	Urban	0.839141418978259	0.214860946721074	114	58	0.000243116118845659	0.0473835719777709
Escherichia.Shigella	AgeC	AgeC	-0.972909519108601	0.250747316719023	114	112	0.000300276121532135	0.0473835719777709
Mitsuokella	AgeC	AgeC	0.236608651307542	0.065628801098426	114	61	0.000632159675200062	0.0831289972888082
Bifidobacterium	AgeC	AgeC	0.206222244465501	0.0586708011174469	114	113	0.000864191140128316	0.0919348030839792
Lachnospiraceae_UCG.001	AgeC	AgeC	0.187682459566501	0.0540142877300313	114	57	0.000932165303766583	0.0919348030839792
Senegalimassilia	AgeC	AgeC	0.115904552864159	0.0340882742332416	114	47	0.00125574425931065	0.110086913399567
Alistipes	AgeC	AgeC	0.250526467128332	0.0763367796249521	114	101	0.00171039638394394	0.111985912219657
Oscillospira	Location	Urban	0.162334609748894	0.0499469036079174	114	18	0.00194516199268158	0.111985912219657
Anaerovibrio	Location	Urban	-0.502379383861198	0.152612161375527	114	31	0.00169534601905706	0.111985912219657
Succinivibrio	AgeC	AgeC	0.198554419325796	0.0605637795579326	114	52	0.00164928691805606	0.111985912219657
Enterobacter	Location	Urban	0.404245414927199	0.127601159733963	114	47	0.00198707575548187	0.111985912219657
Lachnospira	Location	Urban	0.443396701312592	0.138799186545241	114	90	0.00226599303695179	0.119191233743664
Izemoplasmatales	Location	Urban	0.581036190793737	0.195115253727259	114	79	0.00357064821048163	0.156513413226111
Enterococcus	EntColi	TRUE	-0.573504022458005	0.190673363295036	114	79	0.00327489694902297	0.156513413226111
RF39	EntColi	TRUE	0.579819625198279	0.194111310374748	114	83	0.00347933964422699	0.156513413226111
Enterococcus	AgeC	AgeC	-0.901987521895487	0.296428328180739	114	79	0.00391452824675959	0.162555936141754
Slackia	AgeC	AgeC	0.0849249990630201	0.0288873983070464	114	15	0.00504743285760584	0.166469437256391
Lactococcus	Location	Urban	-0.304206559160188	0.105233578951703	114	28	0.00463188171111219	0.166469437256391
X.Eubacterium._ventriosum_group	AgeC	AgeC	0.803972847156757	0.267404134767267	114	93	0.00467307325959837	0.166469437256391
Lachnospiraceae_NK4A136_group	AgeC	AgeC	0.1670500055147	0.0563005425628724	114	101	0.00426211022821454	0.166469437256391
TM7x	AgeC	AgeC	0.0592897589131398	0.0207274780663027	114	11	0.00506370911806514	0.166469437256391
Peptoniphilus	AgeC	AgeC	0.0932555356548216	0.0327774641077338	114	13	0.00529606621212291	0.167143849654599
Peptococcus	AgeC	AgeC	0.140444423897496	0.0495808185310657	114	94	0.00620756242106753	0.188375644239318
Defluviitaleaceae_UCG.011	EntColi	TRUE	0.361252440200266	0.132373165153119	114	100	0.00740620085067502	0.215365406421208
UCG.008	Location	Urban	0.139732788249972	0.0505956926814731	114	14	0.00764287880835721	0.215365406421208
Christensenellaceae_R.7_group	EntColi	TRUE	0.453990967431997	0.170514676124553	114	108	0.0089429068313603	0.243223135257753
vadinBE97	EntColi	TRUE	0.534536159607147	0.20075317100166	114	78	0.00924802795656855	0.243223135257753
Izemoplasmatales	EntColi	TRUE	0.617017127352943	0.240771928861254	114	79	0.0117389234585453	0.251470902145366
Lactobacillus	AgeC	AgeC	0.112945691724269	0.0430604226910952	114	24	0.0111440812918089	0.251470902145366
Vagococcus	Location	Urban	-0.139762153061799	0.0548755857999797	114	9	0.012251166601613	0.251470902145366
X.Eubacterium._eligens_group	Location	Urban	0.323225254034793	0.123191333322503	114	85	0.00993123170296121	0.251470902145366
Family_XIII_AD3011_group	EntColi	TRUE	0.294351810956679	0.115045029673268	114	105	0.0118788844960705	0.251470902145366
Anaerovibrio	AgeC	AgeC	0.136958696139939	0.05277701288437	114	31	0.0118763333603434	0.251470902145366
Janthinobacterium	EntColi	TRUE	0.0415660485608974	0.0163528427108891	114	2	0.0124301206383641	0.251470902145366
Klebsiella	AgeC	AgeC	-0.847462248675508	0.316462519438241	114	83	0.0111544690499628	0.251470902145366
Akkermansia	AgeC	AgeC	0.121222126475055	0.0461201364752389	114	25	0.0109976031620073	0.251470902145366
Subdoligranulum	AgeC	AgeC	0.149972296479369	0.0589775968272679	114	42	0.0133656285264057	0.263637022683352
Anaeroplasma	AgeC	AgeC	0.150804813982506	0.0615940888521141	114	39	0.0170283933871577	0.273320052323025
X.Bacteroides._pectinophilus_group	Location	Urban	0.0951982124919463	0.0390926705232659	114	11	0.0178633199367856	0.273320052323025
X.Bacteroides._pectinophilus_group	AgeC	AgeC	0.172094054325851	0.0617162863929399	114	11	0.0176179978180026	0.273320052323025
X.Ruminococcus._torques_group	EntColi	TRUE	-0.325378128585631	0.134134572151896	114	100	0.0169235440789515	0.273320052323025
Dorea	EntColi	TRUE	-0.19370512685381	0.0777843462783605	114	111	0.0142850972125941	0.273320052323025
Lachnospiraceae_ND3007_group	Location	Urban	0.237867341737714	0.096674911449004	114	100	0.0168523811379228	0.273320052323025
Lachnospiraceae_UCG.008	Location	Urban	0.0660702359644957	0.0271706586566582	114	6	0.0180134888730004	0.273320052323025
X.Eubacterium._coprostanoligenes_group	AgeC	AgeC	0.116679870075096	0.047822466890083	114	111	0.0174101402122313	0.273320052323025
Hydrogenoanaerobacterium	Location	Urban	0.147073415165999	0.0589979898261947	114	19	0.0154391377441596	0.273320052323025
Phocea	AgeC	AgeC	-0.19167084762733	0.0773259304318162	114	17	0.017442003176608	0.273320052323025
Allisonella	EntColi	TRUE	-0.333837355239424	0.137204119795259	114	79	0.0168676998254332	0.273320052323025
Brachyspira	EntColi	TRUE	0.0702574415030484	0.0286583058895214	114	2	0.0157976026320159	0.273320052323025
Vagococcus	AgeC	AgeC	-0.0647963098914467	0.0273269877015813	114	9	0.0194721785229001	0.27919733965362
Oscillospira	EntColi	TRUE	0.137610067337917	0.0579387850403628	114	18	0.0192882158552524	0.27919733965362
CAG.352	AgeC	AgeC	0.209346359998833	0.0885021940885103	114	40	0.0197598569755478	0.27919733965362
Parvimonas	Location	Urban	0.131051955213517	0.0547491102972115	114	16	0.0198162877320693	0.27919733965362
Streptococcus	AgeC	AgeC	-0.703193156638284	0.29144043483447	114	99	0.0209402225095607	0.289856764211288
Howardella	Location	Urban	-0.195619968349759	0.0827923380963896	114	30	0.0214819103037408	0.292228055683646
Clostridia_UCG.014	AgeC	AgeC	0.937027284704579	0.347909897298597	114	97	0.0219918597009362	0.294094530576926
Akkermansia	EntColi	TRUE	0.302875369342089	0.131182809841788	114	25	0.0229243970955232	0.30145582180613
Blautia	EntColi	TRUE	-0.257959585806699	0.113546525335268	114	112	0.0250410506757567	0.323891622674952
Izemoplasmatales	AgeC	AgeC	0.218869778890174	0.0971636486657367	114	79	0.0262694926348231	0.325949031297466
Anaerostignum	EntColi	TRUE	0.0146021237048128	0.00648798850873019	114	1	0.0264394651496043	0.325949031297466
Lachnospiraceae_NC2004_group	Location	Urban	0.103683953155471	0.0460755476606621	114	5	0.0264188123919334	0.325949031297466
Coprococcus	AgeC	AgeC	0.101088606911657	0.0447754799430562	114	111	0.0272979660100198	0.326334775483418
Roseburia	EntColi	TRUE	-0.348401935934202	0.155483263423291	114	109	0.0270768162591993	0.326334775483418
Fenollaria	AgeC	AgeC	0.0885589111545491	0.0400855851832278	114	27	0.0292301589370833	0.344217841811324
X.Eubacterium._xylanophilum_group	AgeC	AgeC	0.458461410878318	0.200599011518966	114	60	0.0352585908182729	0.409103355229666
UCG.003	EntColi	TRUE	-0.271781264566051	0.12827510245821	114	104	0.0363685948290337	0.415866975653734
RF39	AgeC	AgeC	0.618260118398431	0.266888409508526	114	83	0.0382920182431742	0.4264211326656
Anaerotruncus	Location	Urban	0.185847509616169	0.0877149716067925	114	32	0.0385311672601026	0.4264211326656
Candidatus_Saccharimonas	EntColi	TRUE	0.0136706814567845	0.00654261550671178	114	1	0.0390040370050586	0.4264211326656
Sphaerochaeta	AgeC	AgeC	0.102038088734015	0.042428423749854	114	4	0.0394534127814814	0.4264211326656
Sutterella	EntColi	TRUE	-0.208538228831001	0.100478770177415	114	113	0.0402929174046871	0.42960961935538
Butyrivibrio	AgeC	AgeC	0.161621104662571	0.0778385915638617	114	58	0.042024837250754	0.436284165669012
Hydrogenoanaerobacterium	EntColi	TRUE	0.137919814173814	0.0670221589135618	114	19	0.0419768276523737	0.436284165669012
UCG.007	EntColi	TRUE	0.119100452212798	0.0581382107554643	114	17	0.0429338315715109	0.439932378050936
Defluviitaleaceae_UCG.011	AgeC	AgeC	0.374031836146431	0.175027038473193	114	100	0.0454076570526384	0.453501790057364
Parasutterella	AgeC	AgeC	0.0730833444055717	0.035816731949292	114	17	0.0452072781657785	0.453501790057364
Sneathia	AgeC	AgeC	0.0603243762601864	0.0298336288799138	114	12	0.0471671437676569	0.459442918921991
Haemophilus	Location	Urban	0.233507424404861	0.114906882856421	114	34	0.0467756315130344	0.459442918921991
Gemella	EntColi	TRUE	-0.150398104059573	0.0750966724376037	114	21	0.0477762919100449	0.459701150207627
Bilophila	Location	Urban	0.0611215821377081	0.030800043076093	114	5	0.0496941992878084	0.466770514739058
Candidatus_Soleaferrea	Location	Urban	0.328240724957709	0.163612870468826	114	68	0.0494793043170378	0.466770514739058
Defluviitaleaceae_UCG.011	Location	Urban	0.212463658586526	0.107706814688338	114	100	0.0510619550747232	0.473975088870077
Chryseobacterium	EntColi	TRUE	0.0126642421237136	0.00655084874595421	114	1	0.0557792398650002	0.483776802199723
Pedobacter	EntColi	TRUE	0.0126642421237138	0.00655084874595421	114	1	0.0557792398650056	0.483776802199723
Eubacterium	EntColi	TRUE	0.063135945240178	0.0325039746022375	114	5	0.0546639136595549	0.483776802199723
Lachnospiraceae_FCS020_group	AgeC	AgeC	0.086609271225231	0.0444264352644894	114	62	0.0557968174907159	0.483776802199723
Moryella	AgeC	AgeC	0.0655333473483113	0.033548253918665	114	93	0.0550570201295831	0.483776802199723
Subdoligranulum	EntColi	TRUE	-0.297140563996264	0.15218706303403	114	42	0.0534296686078862	0.483776802199723
Carnobacterium	EntColi	TRUE	0.0123869103438013	0.00654651016475036	114	1	0.0611186790209826	0.485557601724193
Trichococcus	EntColi	TRUE	0.0123869100739811	0.00654651013766605	114	1	0.0611186834892351	0.485557601724193
Brochothrix	EntColi	TRUE	0.0123869101064244	0.006546510140924	114	1	0.0611186829521181	0.485557601724193
Tyzzerella	Location	Urban	0.239935404961081	0.127019865695317	114	31	0.0615408874175149	0.485557601724193
Flavonifractor	EntColi	TRUE	-0.338528236777685	0.178507151286643	114	53	0.0605420229103835	0.485557601724193
UCG.003	AgeC	AgeC	0.0951812939395401	0.0496955263763942	114	104	0.0597984438686786	0.485557601724193
X.Eubacterium._siraeum_group	Location	Urban	0.389117781261592	0.201033797096629	114	98	0.0577869581121323	0.485557601724193
Moellerella	EntColi	TRUE	0.0123869100813743	0.00654651013840902	114	1	0.0611186833667984	0.485557601724193
Serratia	EntColi	TRUE	0.0123869103438565	0.00654651016475659	114	1	0.06111867902039	0.485557601724193
Marvinbryantia	AgeC	AgeC	0.0636482622874545	0.0339767258849078	114	27	0.0636827793302287	0.497482305856935
Dialister	Location	Urban	0.486571044649892	0.25864166995622	114	106	0.065012572114229	0.502891366648301
Cloacibacillus	EntColi	TRUE	0.071678881409244	0.0386933678724485	114	7	0.0669565075738311	0.510551164919159
Victivallis	EntColi	TRUE	0.17790996166856	0.096257252791908	114	33	0.0672969849830071	0.510551164919159
Rothia	Location	Urban	0.0563846940170296	0.0306845867942839	114	8	0.0710865982735885	0.521745241127436
Hungatella	AgeC	AgeC	-0.0613495306815158	0.0335271330391384	114	10	0.0699808224101122	0.521745241127436
Phascolarctobacterium	AgeC	AgeC	0.0532323476621622	0.0292261008619016	114	4	0.0712641366185573	0.521745241127436
Paracoccus	Location	Urban	0.170302152319584	0.0935467878714956	114	30	0.0714175995459608	0.521745241127436
Sphingomonas	Location	Urban	0.0361473536230349	0.0199193827228228	114	4	0.0723077376534816	0.523401880812816
Rikenellaceae_RC9_gut_group	Location	Urban	-0.679355547002014	0.372848595185047	114	82	0.0735654494789683	0.527664905808236
Helicobacter	EntColi	TRUE	0.0369521425013187	0.0205863700351816	114	2	0.0754438742005082	0.53626321391172
Corynebacterium	Location	Urban	-0.0209590675144812	0.0117169149682931	114	3	0.0764037183191577	0.538236908516209
Parvimonas	AgeC	AgeC	0.0479982149030243	0.0269088146362881	114	16	0.0788712213698909	0.55070259876853
Agathobacter	EntColi	TRUE	-0.294724642464803	0.166669849746836	114	104	0.0798987717147565	0.552983604236341
Methanobrevibacter	EntColi	TRUE	0.0828650941237066	0.048583527507059	114	6	0.0909101832120218	0.558950794654899
F0332	EntColi	TRUE	0.0111448929639495	0.00656908013605781	114	1	0.092606437358889	0.558950794654899
X.Eubacterium._hallii_group	EntColi	TRUE	-0.168526851958066	0.0960569286230408	114	110	0.0821385051385052	0.558950794654899
X.Eubacterium._xylanophilum_group	Location	Urban	0.216089931965474	0.123665479921862	114	60	0.0860127133337808	0.558950794654899
Agathobacter	Location	Urban	-0.270385928134981	0.158168813498434	114	104	0.0928119927943932	0.558950794654899
Anaerostipes	Location	Urban	0.245699165534312	0.142467664109127	114	98	0.0899745442241964	0.558950794654899
